Object_Id  Timestamp Type Lat Lng 
43 78 point 50.6296632 3.0692406
45 78 point 50.6367145 3.0527197
48 78 point 50.633297 3.0760703
0 79 point 50.6216215 3.0523424
7 79 point 50.6172038 3.0817033
10 79 point 50.6417578 3.0516125
13 79 point 50.6213525 3.0865674
18 79 point 50.6397244 3.0481479
19 79 point 50.6430274 3.0728229
21 79 point 50.6408279 3.0577436
22 79 point 50.6250991 3.05243
30 79 point 50.6336036 3.0551059
31 79 point 50.6181575 3.0332137
32 79 point 50.6229581 3.0834602
33 79 point 50.6364106 3.0351511
35 79 point 50.6368957 3.0868298
38 79 point 50.6216866 3.0828732
40 79 point 50.635634 3.0804578
41 79 point 50.6216215 3.0523424
43 79 point 50.6296904 3.0692328
45 79 point 50.6369304 3.0523291
48 79 point 50.6332273 3.0760736
0 80 point 50.6214636 3.0523374
7 80 point 50.6174683 3.0814418
10 80 point 50.6418382 3.0520346
13 80 point 50.6213817 3.0865213
18 80 point 50.639707 3.04821
19 80 point 50.6429953 3.0726998
21 80 point 50.6408266 3.0577385
22 80 point 50.6249438 3.0517904
30 80 point 50.6337 3.055506
31 80 point 50.6180894 3.0332206
32 80 point 50.6230661 3.0834457
33 80 point 50.6363157 3.0349346
35 80 point 50.6368735 3.0869887
38 80 point 50.6211402 3.0824285
40 80 point 50.6346504 3.0813976
41 80 point 50.6214636 3.0523374
43 80 point 50.6297252 3.0692163
45 80 point 50.6372167 3.0518104
48 80 point 50.6332396 3.0759237
0 81 point 50.6213145 3.0523067
7 81 point 50.6177903 3.0812176
10 81 point 50.6418835 3.0522721
13 81 point 50.621423 3.0864527
18 81 point 50.6397001 3.0486608
19 81 point 50.6429846 3.0725371
21 81 point 50.6407915 3.0577656
22 81 point 50.6244265 3.052207
30 81 point 50.6329891 3.0568953
31 81 point 50.6179511 3.0332397
32 81 point 50.6231818 3.0834088
33 81 point 50.6359317 3.0340553
35 81 point 50.6368464 3.0871827
38 81 point 50.6207011 3.0819886
40 81 point 50.6348426 3.0811356
41 81 point 50.6213145 3.0523067
43 81 point 50.6297501 3.0691995
45 81 point 50.6372847 3.051688
48 81 point 50.633245 3.0758875
0 82 point 50.6211775 3.0522619
7 82 point 50.6181344 3.081063
10 82 point 50.6421114 3.0522489
13 82 point 50.6214375 3.0864284
18 82 point 50.6398442 3.0486145
19 82 point 50.6428923 3.0727665
21 82 point 50.6407154 3.0575126
22 82 point 50.6241981 3.0523382
30 82 point 50.6335377 3.0581626
31 82 point 50.6181525 3.0330747
32 82 point 50.6233576 3.0831199
33 82 point 50.6358217 3.0341646
35 82 point 50.6368084 3.0874545
38 82 point 50.6204527 3.0817955
40 82 point 50.6353196 3.0806254
41 82 point 50.6211775 3.0522619
43 82 point 50.6297765 3.0691762
45 82 point 50.6374028 3.0516286
48 82 point 50.6333171 3.0748264
0 83 point 50.6210119 3.0521874
7 83 point 50.6184844 3.080947
10 83 point 50.6421458 3.0522479
13 83 point 50.6215187 3.0862804
18 83 point 50.639898 3.0486407
19 83 point 50.6426626 3.0733256
21 83 disappearpoint 50.6407751 3.0574693
22 83 point 50.6240783 3.0524042
30 83 point 50.6335784 3.0582562
31 83 point 50.6182274 3.0329166
32 83 point 50.623396 3.0830464
33 83 point 50.6357475 3.0342384
35 83 disappearpoint 50.6368437 3.0875585
38 83 point 50.6201464 3.0816453
40 83 point 50.6354479 3.0804149
41 83 point 50.6210119 3.0521874
43 83 point 50.6298032 3.069146
45 83 point 50.6374434 3.0515659
48 83 point 50.6333294 3.0747214
0 84 point 50.6208221 3.0520785
7 84 point 50.6187716 3.0808917
10 84 point 50.6427943 3.0521721
13 84 point 50.6216042 3.0861266
18 84 point 50.6399288 3.048699
19 84 point 50.6424802 3.0736187
22 84 point 50.6238256 3.0525383
30 84 point 50.6336754 3.0584189
31 84 point 50.6182433 3.0328677
32 84 point 50.6234251 3.0830939
33 84 point 50.6356416 3.0343437
38 84 point 50.619823 3.0815594
40 84 point 50.6355147 3.0802271
41 84 point 50.6208221 3.0520785
43 84 point 50.6298288 3.0691088
45 84 point 50.6374888 3.0514771
48 84 point 50.6333798 3.0744766
0 85 point 50.62059 3.0519288
7 85 point 50.6190065 3.0808834
10 85 point 50.6446644 3.0498674
13 85 point 50.6230386 3.0836593
18 85 point 50.6400412 3.049105
19 85 point 50.6423392 3.0737734
22 85 point 50.6235707 3.0526415
30 85 point 50.633628 3.0585062
31 85 point 50.6182647 3.032802
32 85 point 50.6234556 3.0831352
33 85 point 50.6355188 3.0344658
38 85 point 50.6194103 3.081568
40 85 point 50.6355202 3.079983
41 85 point 50.62059 3.0519288
43 85 point 50.6298557 3.0690571
45 85 point 50.6375817 3.0513587
48 85 point 50.6333489 3.0744318
0 86 point 50.6204151 3.051788
7 86 point 50.6194636 3.0809445
10 86 point 50.6447087 3.0499556
13 86 point 50.6229945 3.0836125
18 86 disappearpoint 50.6405012 3.0486881
19 86 point 50.6421447 3.0739094
22 86 point 50.6231796 3.0526701
30 86 point 50.633161 3.0593675
31 86 point 50.6182943 3.0326077
32 86 point 50.6235053 3.083021
33 86 point 50.6356288 3.0347463
38 86 point 50.6190296 3.0816255
40 86 point 50.6354402 3.0797533
41 86 point 50.6204151 3.051788
43 86 point 50.6298859 3.0689691
45 86 point 50.6376541 3.0512718
48 86 point 50.6333233 3.0743766
0 87 point 50.620215 3.0516306
7 87 point 50.6197556 3.0810481
10 87 point 50.6448506 3.050249
13 87 point 50.6228044 3.0834212
19 87 point 50.6418552 3.0741078
22 87 point 50.6231431 3.0518835
30 87 point 50.6330421 3.0592617
31 87 point 50.6182893 3.0323855
32 87 point 50.6236202 3.0828016
33 87 point 50.6355222 3.0348739
38 87 point 50.6186569 3.0816615
40 87 point 50.6351948 3.0791501
41 87 point 50.620215 3.0516306
43 87 point 50.629899 3.068903
45 87 point 50.637707 3.0512083
48 87 point 50.6332803 3.0741773
0 88 point 50.6199392 3.0514078
7 88 point 50.6200991 3.081223
10 88 point 50.6448887 3.0503272
13 88 point 50.6223934 3.0830078
19 88 point 50.6416655 3.0742824
22 88 point 50.6237584 3.0515849
30 88 point 50.6323486 3.058122
31 88 point 50.6182561 3.0320307
32 88 point 50.6237107 3.0826492
33 88 point 50.6357518 3.0353861
38 88 point 50.6182551 3.0817511
40 88 point 50.634741 3.0795335
41 88 point 50.6199392 3.0514078
43 88 point 50.6299043 3.0688519
45 88 point 50.637898 3.0510399
48 88 point 50.6330189 3.0729669
0 89 point 50.6196796 3.0511849
7 89 point 50.6203322 3.0814083
10 89 point 50.6449485 3.0504501
13 89 point 50.6217227 3.0822994
19 89 point 50.6415833 3.0743743
22 89 point 50.6240241 3.0514579
30 89 point 50.6315179 3.0597398
31 89 point 50.6182283 3.0317563
32 89 point 50.6238351 3.082433
33 89 point 50.6358833 3.0353521
38 89 point 50.6186607 3.0817523
40 89 point 50.6345356 3.0797029
41 89 point 50.6196796 3.0511849
43 89 point 50.6299058 3.068803
45 89 point 50.6379345 3.0510189
48 89 point 50.6328572 3.0723125
0 90 point 50.6193541 3.0509202
7 90 point 50.6206916 3.081743
10 90 point 50.6450523 3.0506583
13 90 point 50.6212427 3.0816658
19 90 point 50.6414545 3.0745306
22 90 point 50.6247978 3.0510623
30 90 point 50.6322323 3.0607183
31 90 point 50.6182145 3.0315724
32 90 point 50.6239312 3.0822605
33 90 point 50.6356288 3.0347463
38 90 point 50.6188506 3.0817246
40 90 point 50.6343864 3.0800273
41 90 point 50.6193541 3.0509202
43 90 point 50.6299043 3.0687606
45 90 point 50.6381898 3.0508255
48 90 point 50.6328234 3.0723298
0 91 point 50.6191477 3.0507609
7 91 point 50.6208827 3.0819603
10 91 point 50.645091 3.050736
13 91 point 50.6207367 3.0809241
19 91 point 50.6411791 3.0749068
22 91 point 50.6248363 3.0510439
30 91 point 50.6322879 3.0607592
31 91 point 50.6181555 3.0310904
32 91 point 50.6239772 3.0821341
33 91 point 50.6355222 3.0348739
38 91 point 50.6191106 3.0817148
40 91 point 50.6342863 3.0804191
41 91 point 50.6191477 3.0507609
43 91 point 50.629897 3.0686976
45 91 point 50.6382494 3.050786
48 91 point 50.6324306 3.0725307
0 92 point 50.6188993 3.050552
7 92 point 50.6213355 3.0824954
10 92 point 50.6451459 3.0508492
13 92 point 50.6204164 3.0805738
19 92 point 50.6406176 3.075552
22 92 point 50.6257044 3.0506551
30 92 point 50.6322228 3.0608888
31 92 point 50.6180028 3.0299918
32 92 point 50.6239863 3.0820358
33 92 point 50.6357518 3.0353861
38 92 point 50.6196594 3.0817161
40 92 point 50.6342329 3.0807764
41 92 point 50.6188993 3.050552
43 92 point 50.6298923 3.0686722
45 92 point 50.6383412 3.0510496
48 92 point 50.6324021 3.0726446
0 93 point 50.6187899 3.0504703
7 93 point 50.6216866 3.0828732
10 93 point 50.644937 3.0510894
13 93 point 50.6201602 3.0804113
19 93 point 50.6404872 3.0757685
22 93 point 50.6263808 3.0502418
30 93 point 50.6321224 3.0610672
31 93 point 50.6180083 3.0298194
32 93 point 50.623986 3.0816144
33 93 point 50.6358833 3.0353521
38 93 point 50.6199529 3.08171
40 93 point 50.6342008 3.0811505
41 93 point 50.6187899 3.0504703
43 93 point 50.6298694 3.0685905
45 93 point 50.6383789 3.0510824
48 93 point 50.6323902 3.0734936
0 94 point 50.6184476 3.0501806
7 94 point 50.6209167 3.0821161
10 94 point 50.6449817 3.0511792
13 94 point 50.6199612 3.08038
19 94 point 50.6399328 3.0762988
22 94 point 50.6265604 3.0501306
30 94 point 50.6318027 3.061635
31 94 point 50.6179948 3.0297093
32 94 point 50.6239857 3.0812909
33 94 point 50.6356288 3.0347463
38 94 point 50.6201357 3.0818191
40 94 point 50.6341898 3.0815748
41 94 point 50.6184476 3.0501806
43 94 point 50.6298495 3.068543
45 94 point 50.6384453 3.0510618
48 94 point 50.6323276 3.0735605
0 95 point 50.6183576 3.0501044
7 95 point 50.6206222 3.0818412
10 95 point 50.6440767 3.0522919
13 95 point 50.6196148 3.0803797
19 95 point 50.6391882 3.0770111
22 95 point 50.6266801 3.0505257
30 95 point 50.6316489 3.0619082
31 95 point 50.6179851 3.0296328
32 95 point 50.6239938 3.0808739
33 95 point 50.6355222 3.0348739
38 95 point 50.620263 3.0819719
40 95 point 50.6341974 3.0821745
41 95 point 50.6183576 3.0501044
43 95 point 50.6298295 3.0685058
45 95 point 50.6385586 3.0510469
48 95 point 50.6322046 3.0735694
0 96 point 50.6180382 3.0498416
7 96 point 50.6204118 3.0816984
